#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.51,0.00
1,1000,5.65,0.18
2,1000,5.65,0.35
4,1000,5.63,0.71
8,1000,5.63,1.42
16,1000,5.63,2.84
32,1000,5.64,5.67
64,1000,5.62,11.38
128,1000,5.72,22.39
256,1000,5.74,44.57
512,1000,5.79,88.50
1024,1000,6.37,160.81
2048,1000,6.23,328.91
4096,1000,7.21,568.23
8192,1000,7.61,1076.38
16384,1000,9.98,1641.70
32768,1000,15.85,2066.82
65536,640,31.02,2112.64
131072,320,44.06,2975.07
262144,160,63.01,4160.04
524288,80,98.29,5334.18
1048576,40,166.74,6288.64
2097152,20,313.51,6689.35
4194304,10,666.89,6289.40
8388608,5,1608.84,5214.07
16777216,2,3413.70,4914.67
33554432,1,6876.99,4879.23
67108864,1,13042.36,5145.45
134217728,1,25958.34,5170.51
268435456,1,51392.58,5223.23
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.46,0.00
1,1000,5.57,0.18
2,1000,5.61,0.36
4,1000,5.59,0.72
8,1000,5.59,1.43
16,1000,5.62,2.85
32,1000,5.64,5.67
64,1000,5.65,11.32
128,1000,5.69,22.50
256,1000,5.70,44.92
512,1000,5.78,88.64
1024,1000,6.37,160.76
2048,1000,6.21,330.02
4096,1000,7.25,565.34
8192,1000,7.61,1077.12
16384,1000,9.98,1641.77
32768,1000,15.83,2070.31
65536,640,30.96,2116.54
131072,320,43.65,3002.59
262144,160,62.98,4162.32
524288,80,97.94,5353.19
1048576,40,166.39,6301.98
2097152,20,313.72,6684.86
4194304,10,668.89,6270.53
8388608,5,1621.69,5172.75
16777216,2,3421.69,4903.20
33554432,1,6865.87,4887.14
67108864,1,13001.51,5161.62
134217728,1,25887.98,5184.56
268435456,1,51423.29,5220.11
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.18,0.00
1,1000,5.46,0.18
2,1000,5.46,0.37
4,1000,5.47,0.73
8,1000,5.47,1.46
16,1000,5.49,2.92
32,1000,5.49,5.83
64,1000,5.48,11.68
128,1000,5.57,22.98
256,1000,5.62,45.52
512,1000,5.67,90.27
1024,1000,6.32,161.98
2048,1000,6.14,333.60
4096,1000,7.15,573.18
8192,1000,7.54,1085.82
16384,1000,9.94,1648.10
32768,1000,16.00,2047.88
65536,640,30.89,2121.33
131072,320,43.83,2990.42
262144,160,62.72,4179.31
524288,80,97.58,5372.64
1048576,40,167.12,6274.25
2097152,20,312.91,6702.19
4194304,10,670.30,6257.36
8388608,5,1608.55,5215.02
16777216,2,3422.76,4901.67
33554432,1,6897.56,4864.68
67108864,1,13024.08,5152.68
134217728,1,26658.48,5034.71
268435456,1,53120.74,5053.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.49,0.00
1,1000,5.56,0.18
2,1000,5.57,0.36
4,1000,5.54,0.72
8,1000,5.55,1.44
16,1000,5.54,2.89
32,1000,5.55,5.77
64,1000,5.56,11.50
128,1000,5.64,22.71
256,1000,5.67,45.18
512,1000,5.72,89.56
1024,1000,6.29,162.71
2048,1000,6.15,332.85
4096,1000,7.14,573.66
8192,1000,7.62,1074.55
16384,1000,9.95,1647.04
32768,1000,16.07,2039.23
65536,640,30.86,2123.46
131072,320,43.99,2979.56
262144,160,62.74,4178.51
524288,80,97.79,5361.53
1048576,40,167.10,6275.13
2097152,20,313.61,6687.24
4194304,10,669.98,6260.34
8388608,5,1620.44,5176.74
16777216,2,3421.47,4903.51
33554432,1,6862.27,4889.70
67108864,1,12985.69,5167.91
134217728,1,25888.27,5184.50
268435456,1,51361.95,5226.35
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.20,0.00
1,1000,5.27,0.19
2,1000,5.29,0.38
4,1000,5.29,0.76
8,1000,5.28,1.52
16,1000,5.28,3.03
32,1000,5.30,6.04
64,1000,5.30,12.08
128,1000,5.38,23.81
256,1000,5.38,47.55
512,1000,5.39,95.07
1024,1000,6.04,169.40
2048,1000,5.86,349.67
4096,1000,6.83,599.49
8192,1000,7.20,1138.27
16384,1000,9.53,1718.84
32768,1000,15.45,2120.60
65536,640,29.64,2210.92
131072,320,41.96,3123.96
262144,160,61.05,4293.62
524288,80,95.01,5518.14
1048576,40,161.11,6508.33
2097152,20,306.51,6842.00
4194304,10,653.97,6413.60
8388608,5,1584.66,5293.62
16777216,2,3385.69,4955.33
33554432,1,6800.21,4934.32
67108864,1,13005.74,5159.94
134217728,1,25878.78,5186.40
268435456,1,51271.81,5235.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.24,0.00
1,1000,5.29,0.19
2,1000,5.29,0.38
4,1000,5.29,0.76
8,1000,5.30,1.51
16,1000,5.30,3.02
32,1000,5.30,6.04
64,1000,5.33,12.00
128,1000,5.38,23.80
256,1000,5.40,47.38
512,1000,5.45,93.98
1024,1000,6.00,170.61
2048,1000,5.85,349.82
4096,1000,6.82,600.40
8192,1000,7.26,1128.02
16384,1000,9.50,1724.37
32768,1000,15.44,2122.19
65536,640,29.60,2214.37
131072,320,41.83,3133.72
262144,160,61.43,4267.17
524288,80,95.52,5488.77
1048576,40,162.34,6459.13
2097152,20,308.63,6795.13
4194304,10,657.68,6377.42
8388608,5,1589.03,5279.08
16777216,2,3361.17,4991.48
33554432,1,6752.73,4969.02
67108864,1,12996.31,5163.69
134217728,1,25915.97,5178.96
268435456,1,51367.15,5225.82
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.45,0.00
1,1000,5.55,0.18
2,1000,5.56,0.36
4,1000,5.56,0.72
8,1000,5.57,1.44
16,1000,5.56,2.88
32,1000,5.56,5.76
64,1000,5.57,11.49
128,1000,5.66,22.60
256,1000,5.70,44.90
512,1000,5.75,88.97
1024,1000,6.40,159.94
2048,1000,6.20,330.27
4096,1000,7.20,569.15
8192,1000,7.59,1079.17
16384,1000,10.00,1638.83
32768,1000,16.15,2028.71
65536,640,30.89,2121.38
131072,320,43.91,2985.25
262144,160,63.47,4130.52
524288,80,97.57,5373.46
1048576,40,167.44,6262.37
2097152,20,313.66,6686.06
4194304,10,670.10,6259.24
8388608,5,1618.46,5183.07
16777216,2,3432.32,4888.01
33554432,1,6864.45,4888.15
67108864,1,12997.95,5163.03
134217728,1,25925.34,5177.09
268435456,1,51357.20,5226.83
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.37,0.00
1,1000,5.35,0.19
2,1000,5.33,0.38
4,1000,5.35,0.75
8,1000,5.36,1.49
16,1000,5.33,3.00
32,1000,5.34,5.99
64,1000,5.38,11.91
128,1000,5.44,23.53
256,1000,5.49,46.64
512,1000,5.53,92.53
1024,1000,6.05,169.29
2048,1000,5.97,343.07
4096,1000,6.82,600.88
8192,1000,7.34,1116.21
16384,1000,9.53,1719.17
32768,1000,15.47,2118.47
65536,640,29.73,2204.15
131072,320,41.92,3126.98
262144,160,61.23,4281.41
524288,80,95.77,5474.37
1048576,40,162.11,6468.29
2097152,20,306.67,6838.40
4194304,10,652.69,6426.16
8388608,5,1584.34,5294.72
16777216,2,3360.81,4992.02
33554432,1,6780.14,4948.93
67108864,1,12993.76,5164.70
134217728,1,25934.67,5175.22
268435456,1,51402.36,5222.24
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.46,0.00
1,1000,5.58,0.18
2,1000,5.57,0.36
4,1000,5.58,0.72
8,1000,5.57,1.44
16,1000,5.58,2.87
32,1000,5.59,5.73
64,1000,5.61,11.41
128,1000,5.64,22.69
256,1000,5.69,44.97
512,1000,5.75,88.97
1024,1000,6.39,160.13
2048,1000,6.21,329.53
4096,1000,7.20,569.03
8192,1000,7.68,1066.60
16384,1000,9.93,1650.41
32768,1000,16.04,2042.88
65536,640,31.13,2105.27
131072,320,44.25,2961.88
262144,160,63.01,4160.53
524288,80,98.02,5348.69
1048576,40,166.46,6299.26
2097152,20,313.91,6680.67
4194304,10,669.63,6263.62
8388608,5,1611.67,5204.92
16777216,2,3415.84,4911.59
33554432,1,6852.79,4896.46
67108864,1,12997.57,5163.19
134217728,1,25896.22,5182.91
268435456,1,51375.30,5224.99
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.51,0.00
1,1000,5.58,0.18
2,1000,5.58,0.36
4,1000,5.59,0.72
8,1000,5.58,1.43
16,1000,5.58,2.87
32,1000,5.57,5.75
64,1000,5.61,11.41
128,1000,5.67,22.57
256,1000,5.74,44.58
512,1000,5.76,88.90
1024,1000,6.36,161.08
2048,1000,6.16,332.64
4096,1000,7.20,568.77
8192,1000,7.66,1069.31
16384,1000,10.01,1637.07
32768,1000,16.10,2035.26
65536,640,30.92,2119.66
131072,320,44.06,2974.65
262144,160,62.87,4169.74
524288,80,97.70,5366.47
1048576,40,166.99,6279.14
2097152,20,314.47,6668.88
4194304,10,671.83,6243.14
8388608,5,1615.07,5193.97
16777216,2,3417.88,4908.66
33554432,1,6882.76,4875.14
67108864,1,13017.41,5155.32
134217728,1,25925.71,5177.01
268435456,1,51466.33,5215.75
