#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.97,1.03
2,1000,0.98,2.03
4,1000,0.98,4.07
8,1000,0.98,8.18
16,1000,0.98,16.27
32,1000,1.00,32.06
64,1000,1.17,54.67
128,1000,1.21,105.87
256,1000,1.42,180.48
512,1000,1.50,341.27
1024,1000,1.66,617.30
2048,1000,2.33,880.50
4096,1000,3.19,1285.61
8192,1000,4.47,1833.82
16384,1000,6.28,2610.40
32768,1000,8.47,3867.15
65536,640,12.40,5286.95
131072,320,18.63,7033.80
262144,160,32.67,8024.47
524288,80,54.79,9569.15
1048576,40,98.16,10681.83
2097152,20,182.21,11509.75
4194304,10,352.69,11892.46
8388608,5,693.27,12099.98
16777216,2,1382.40,12136.30
33554432,1,2755.40,12177.71
67108864,1,5518.82,12159.99
134217728,1,11015.32,12184.64
268435456,1,22060.31,12168.25
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.03
8,1000,0.99,8.09
16,1000,0.99,16.16
32,1000,1.00,31.88
64,1000,1.17,54.60
128,1000,1.19,107.19
256,1000,1.43,179.45
512,1000,1.50,342.29
1024,1000,1.65,620.03
2048,1000,2.31,887.98
4096,1000,3.23,1269.00
8192,1000,4.48,1827.15
16384,1000,6.32,2593.77
32768,1000,8.42,3891.76
65536,640,12.44,5268.04
131072,320,18.81,6968.87
262144,160,32.73,8009.29
524288,80,54.22,9669.85
1048576,40,97.88,10713.04
2097152,20,182.21,11509.42
4194304,10,352.74,11890.48
8388608,5,694.33,12081.57
16777216,2,1383.31,12128.33
33554432,1,2753.57,12185.81
67108864,1,5512.73,12173.43
134217728,1,11023.03,12176.12
268435456,1,22075.19,12160.05
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,0.99,4.03
8,1000,0.99,8.11
16,1000,0.99,16.17
32,1000,1.00,31.96
64,1000,1.16,55.20
128,1000,1.21,105.39
256,1000,2.46,103.92
512,1000,1.49,342.60
1024,1000,1.65,619.48
2048,1000,2.32,882.13
4096,1000,3.19,1282.73
8192,1000,4.48,1829.46
16384,1000,6.26,2617.21
32768,1000,8.44,3882.68
65536,640,12.49,5245.16
131072,320,18.85,6951.61
262144,160,32.67,8022.84
524288,80,54.32,9652.30
1048576,40,97.01,10808.74
2097152,20,186.02,11274.02
4194304,10,352.21,11908.40
8388608,5,697.38,12028.74
16777216,2,1377.76,12177.15
33554432,1,2762.55,12146.20
67108864,1,5516.39,12165.36
134217728,1,11013.05,12187.16
268435456,1,22052.61,12172.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.04
8,1000,0.98,8.13
16,1000,0.99,16.21
32,1000,1.00,31.93
64,1000,1.16,55.05
128,1000,1.21,105.63
256,1000,1.43,179.14
512,1000,1.50,341.69
1024,1000,1.66,618.19
2048,1000,2.33,879.40
4096,1000,3.19,1282.13
8192,1000,4.56,1797.97
16384,1000,6.42,2550.16
32768,1000,8.70,3767.55
65536,640,12.51,5239.70
131072,320,18.90,6936.35
262144,160,32.67,8023.68
524288,80,54.29,9657.05
1048576,40,98.46,10649.55
2097152,20,182.18,11511.74
4194304,10,353.41,11868.10
8388608,5,693.11,12102.82
16777216,2,1378.34,12172.06
33554432,1,2761.52,12150.71
67108864,1,5525.69,12144.89
134217728,1,11013.89,12186.22
268435456,1,22037.19,12181.02
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,0.99,1.01
2,1000,0.99,2.01
4,1000,1.00,4.01
8,1000,0.99,8.10
16,1000,0.99,16.17
32,1000,1.00,32.06
64,1000,1.17,54.71
128,1000,1.20,106.67
256,1000,2.47,103.68
512,1000,1.49,342.84
1024,1000,1.66,617.76
2048,1000,2.31,885.92
4096,1000,3.19,1285.28
8192,1000,4.46,1835.69
16384,1000,6.26,2619.00
32768,1000,8.55,3830.69
65536,640,12.44,5266.36
131072,320,18.90,6934.14
262144,160,32.62,8037.12
524288,80,54.27,9661.18
1048576,40,98.39,10657.40
2097152,20,182.21,11509.42
4194304,10,352.94,11883.86
8388608,5,692.82,12107.84
16777216,2,1377.09,12183.07
33554432,1,2763.53,12141.85
67108864,1,5514.36,12169.85
134217728,1,11017.94,12181.75
268435456,1,22066.51,12164.83
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,1.00,2.01
4,1000,0.99,4.04
8,1000,0.98,8.12
16,1000,0.99,16.17
32,1000,1.00,31.92
64,1000,1.16,55.13
128,1000,1.20,106.68
256,1000,1.42,180.53
512,1000,1.51,339.94
1024,1000,1.66,615.87
2048,1000,2.31,884.74
4096,1000,3.19,1285.08
8192,1000,4.47,1833.42
16384,1000,6.26,2616.48
32768,1000,8.45,3877.90
65536,640,12.40,5285.46
131072,320,18.78,6980.35
262144,160,32.68,8021.58
524288,80,54.29,9657.32
1048576,40,96.89,10821.85
2097152,20,186.04,11272.71
4194304,10,352.31,11905.05
8388608,5,696.30,12047.32
16777216,2,1382.16,12138.42
33554432,1,2761.03,12152.88
67108864,1,5520.13,12157.11
134217728,1,11005.88,12195.10
268435456,1,22038.65,12180.21
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.06
8,1000,0.98,8.14
16,1000,0.99,16.24
32,1000,1.00,31.96
64,1000,1.15,55.69
128,1000,1.20,107.03
256,1000,1.43,179.36
512,1000,1.50,341.88
1024,1000,1.65,620.83
2048,1000,2.31,884.73
4096,1000,3.19,1282.94
8192,1000,4.48,1828.69
16384,1000,6.25,2621.27
32768,1000,8.43,3888.95
65536,640,12.38,5292.97
131072,320,18.60,7046.87
